Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
08207 Sant Esteve de Palautordera *;Viviendas con cosumo entre 5.001 y 6.000 kwh;97
08207 Sant Esteve de Palautordera *;Viviendas con cosumo entre 6.001 y 7.000 kwh;62
08207 Sant Esteve de Palautordera *;Viviendas con cosumo entre 7.001 y 8.000 kwh;28
08207 Sant Esteve de Palautordera *;Viviendas con cosumo entre 8.001 y 9.000 kwh;17
08207 Sant Esteve de Palautordera *;Viviendas con cosumo entre 9.001 y 10.000 kwh;11
08207 Sant Esteve de Palautordera *;Viviendas con consumo mayor de 10.000 kwh;34
08208 Sant Esteve Sesrovires;Viviendas totales;3.435
08208 Sant Esteve Sesrovires;Viviendas vacías;268
08208 Sant Esteve Sesrovires;Mediana consumo anual;2.948
08208 Sant Esteve Sesrovires;Viviendas con bajo consumo;60
08208 Sant Esteve Sesrovires;Viviendas de uso esporádico;175
08208 Sant Esteve Sesrovires;Viviendas de uso esporádico (entre 251 y 500 kwh);82
08208 Sant Esteve Sesrovires;Viviendas de uso esporádico (entre 501 y 750 kwh);93
08208 Sant Esteve Sesrovires;Viviendas con cosumo entre 751 y 1.000 kwh;114
08208 Sant Esteve Sesrovires;Viviendas con cosumo entre 1.001 y 2.000 kwh;616
08208 Sant Esteve Sesrovires;Viviendas con cosumo entre 2.001 y 3.000 kwh;687
08208 Sant Esteve Sesrovires;Viviendas con cosumo entre 3.001 y 4.000 kwh;577
08208 Sant Esteve Sesrovires;Viviendas con cosumo entre 4.001 y 5.000 kwh;363
08208 Sant Esteve Sesrovires;Viviendas con cosumo entre 5.001 y 6.000 kwh;209
08208 Sant Esteve Sesrovires;Viviendas con cosumo entre 6.001 y 7.000 kwh;125
08208 Sant Esteve Sesrovires;Viviendas con cosumo entre 7.001 y 8.000 kwh;80
08208 Sant Esteve Sesrovires;Viviendas con cosumo entre 8.001 y 9.000 kwh;61
08208 Sant Esteve Sesrovires;Viviendas con cosumo entre 9.001 y 10.000 kwh;35
08208 Sant Esteve Sesrovires;Viviendas con consumo mayor de 10.000 kwh;65
08209 Sant Fost de Campsentelles;Viviendas totales;3.427
08209 Sant Fost de Campsentelles;Viviendas vacías;213
08209 Sant Fost de Campsentelles;Mediana consumo anual;3.234
08209 Sant Fost de Campsentelles;Viviendas con bajo consumo;37
08209 Sant Fost de Campsentelles;Viviendas de uso esporádico;158
08209 Sant Fost de Campsentelles;Viviendas de uso esporádico (entre 251 y 500 kwh);79
08209 Sant Fost de Campsentelles;Viviendas de uso esporádico (entre 501 y 750 kwh);79
08209 Sant Fost de Campsentelles;Viviendas con cosumo entre 751 y 1.000 kwh;100
08209 Sant Fost de Campsentelles;Viviendas con cosumo entre 1.001 y 2.000 kwh;536
08209 Sant Fost de Campsentelles;Viviendas con cosumo entre 2.001 y 3.000 kwh;633
08209 Sant Fost de Campsentelles;Viviendas con cosumo entre 3.001 y 4.000 kwh;588
08209 Sant Fost de Campsentelles;Viviendas con cosumo entre 4.001 y 5.000 kwh;385
08209 Sant Fost de Campsentelles;Viviendas con cosumo entre 5.001 y 6.000 kwh;276
08209 Sant Fost de Campsentelles;Viviendas con cosumo entre 6.001 y 7.000 kwh;167
08209 Sant Fost de Campsentelles;Viviendas con cosumo entre 7.001 y 8.000 kwh;114
08209 Sant Fost de Campsentelles;Viviendas con cosumo entre 8.001 y 9.000 kwh;62
08209 Sant Fost de Campsentelles;Viviendas con cosumo entre 9.001 y 10.000 kwh;54
08209 Sant Fost de Campsentelles;Viviendas con consumo mayor de 10.000 kwh;104
08210 Sant Feliu de Codines;Viviendas totales;3.272
08210 Sant Feliu de Codines;Viviendas vacías;325
08210 Sant Feliu de Codines;Mediana consumo anual;3.013
08210 Sant Feliu de Codines;Viviendas con bajo consumo;70
08210 Sant Feliu de Codines;Viviendas de uso esporádico;160
08210 Sant Feliu de Codines;Viviendas de uso esporádico (entre 251 y 500 kwh);88
08210 Sant Feliu de Codines;Viviendas de uso esporádico (entre 501 y 750 kwh);72
08210 Sant Feliu de Codines;Viviendas con cosumo entre 751 y 1.000 kwh;101
08210 Sant Feliu de Codines;Viviendas con cosumo entre 1.001 y 2.000 kwh;531
08210 Sant Feliu de Codines;Viviendas con cosumo entre 2.001 y 3.000 kwh;641
08210 Sant Feliu de Codines;Viviendas con cosumo entre 3.001 y 4.000 kwh;491
08210 Sant Feliu de Codines;Viviendas con cosumo entre 4.001 y 5.000 kwh;362
08210 Sant Feliu de Codines;Viviendas con cosumo entre 5.001 y 6.000 kwh;194
08210 Sant Feliu de Codines;Viviendas con cosumo entre 6.001 y 7.000 kwh;141
08210 Sant Feliu de Codines;Viviendas con cosumo entre 7.001 y 8.000 kwh;98
08210 Sant Feliu de Codines;Viviendas con cosumo entre 8.001 y 9.000 kwh;58
08210 Sant Feliu de Codines;Viviendas con cosumo entre 9.001 y 10.000 kwh;34
08210 Sant Feliu de Codines;Viviendas con consumo mayor de 10.000 kwh;66
08211 Sant Feliu de Llobregat;Viviendas totales;18.719
08211 Sant Feliu de Llobregat;Viviendas vacías;926
08211 Sant Feliu de Llobregat;Mediana consumo anual;2.272
08211 Sant Feliu de Llobregat;Viviendas con bajo consumo;213
08211 Sant Feliu de Llobregat;Viviendas de uso esporádico;946
08211 Sant Feliu de Llobregat;Viviendas de uso esporádico (entre 251 y 500 kwh);372
08211 Sant Feliu de Llobregat;Viviendas de uso esporádico (entre 501 y 750 kwh);574
08211 Sant Feliu de Llobregat;Viviendas con cosumo entre 751 y 1.000 kwh;826
08211 Sant Feliu de Llobregat;Viviendas con cosumo entre 1.001 y 2.000 kwh;5.475
08211 Sant Feliu de Llobregat;Viviendas con cosumo entre 2.001 y 3.000 kwh;5.060
08211 Sant Feliu de Llobregat;Viviendas con cosumo entre 3.001 y 4.000 kwh;2.751
08211 Sant Feliu de Llobregat;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.319
08211 Sant Feliu de Llobregat;Viviendas con cosumo entre 5.001 y 6.000 kwh;567
08211 Sant Feliu de Llobregat;Viviendas con cosumo entre 6.001 y 7.000 kwh;255
08211 Sant Feliu de Llobregat;Viviendas con cosumo entre 7.001 y 8.000 kwh;138
08211 Sant Feliu de Llobregat;Viviendas con cosumo entre 8.001 y 9.000 kwh;72
08211 Sant Feliu de Llobregat;Viviendas con cosumo entre 9.001 y 10.000 kwh;40
08211 Sant Feliu de Llobregat;Viviendas con consumo mayor de 10.000 kwh;131
08213 Sant Fruitós de Bages;Viviendas totales;3.876
08213 Sant Fruitós de Bages;Viviendas vacías;283
08213 Sant Fruitós de Bages;Mediana consumo anual;2.633
08213 Sant Fruitós de Bages;Viviendas con bajo consumo;58
08213 Sant Fruitós de Bages;Viviendas de uso esporádico;202
08213 Sant Fruitós de Bages;Viviendas de uso esporádico (entre 251 y 500 kwh);107
08213 Sant Fruitós de Bages;Viviendas de uso esporádico (entre 501 y 750 kwh);95
08213 Sant Fruitós de Bages;Viviendas con cosumo entre 751 y 1.000 kwh;133
08213 Sant Fruitós de Bages;Viviendas con cosumo entre 1.001 y 2.000 kwh;898
08213 Sant Fruitós de Bages;Viviendas con cosumo entre 2.001 y 3.000 kwh;830
08213 Sant Fruitós de Bages;Viviendas con cosumo entre 3.001 y 4.000 kwh;518
08213 Sant Fruitós de Bages;Viviendas con cosumo entre 4.001 y 5.000 kwh;303
08213 Sant Fruitós de Bages;Viviendas con cosumo entre 5.001 y 6.000 kwh;184
08213 Sant Fruitós de Bages;Viviendas con cosumo entre 6.001 y 7.000 kwh;127
08213 Sant Fruitós de Bages;Viviendas con cosumo entre 7.001 y 8.000 kwh;91
08213 Sant Fruitós de Bages;Viviendas con cosumo entre 8.001 y 9.000 kwh;56
08213 Sant Fruitós de Bages;Viviendas con cosumo entre 9.001 y 10.000 kwh;50
08213 Sant Fruitós de Bages;Viviendas con consumo mayor de 10.000 kwh;143
08214 Vilassar de Dalt;Viviendas totales;4.058
08214 Vilassar de Dalt;Viviendas vacías;363
08214 Vilassar de Dalt;Mediana consumo anual;2.759
08214 Vilassar de Dalt;Viviendas con bajo consumo;61
08214 Vilassar de Dalt;Viviendas de uso esporádico;200
08214 Vilassar de Dalt;Viviendas de uso esporádico (entre 251 y 500 kwh);98
08214 Vilassar de Dalt;Viviendas de uso esporádico (entre 501 y 750 kwh);102
08214 Vilassar de Dalt;Viviendas con cosumo entre 751 y 1.000 kwh;124
08214 Vilassar de Dalt;Viviendas con cosumo entre 1.001 y 2.000 kwh;868
08214 Vilassar de Dalt;Viviendas con cosumo entre 2.001 y 3.000 kwh;811
08214 Vilassar de Dalt;Viviendas con cosumo entre 3.001 y 4.000 kwh;616
08214 Vilassar de Dalt;Viviendas con cosumo entre 4.001 y 5.000 kwh;400
08214 Vilassar de Dalt;Viviendas con cosumo entre 5.001 y 6.000 kwh;210
08214 Vilassar de Dalt;Viviendas con cosumo entre 6.001 y 7.000 kwh;125
08214 Vilassar de Dalt;Viviendas con cosumo entre 7.001 y 8.000 kwh;98
08214 Vilassar de Dalt;Viviendas con cosumo entre 8.001 y 9.000 kwh;56
08214 Vilassar de Dalt;Viviendas con cosumo entre 9.001 y 10.000 kwh;41
08214 Vilassar de Dalt;Viviendas con consumo mayor de 10.000 kwh;85
08215 Sant Hipòlit de Voltregà;Viviendas totales;1.739
08215 Sant Hipòlit de Voltregà;Viviendas vacías;334
08215 Sant Hipòlit de Voltregà;Mediana consumo anual;2.604
08215 Sant Hipòlit de Voltregà;Viviendas con bajo consumo;28
08215 Sant Hipòlit de Voltregà;Viviendas de uso esporádico;91
08215 Sant Hipòlit de Voltregà;Viviendas de uso esporádico (entre 251 y 500 kwh);45
08215 Sant Hipòlit de Voltregà;Viviendas de uso esporádico (entre 501 y 750 kwh);46
08215 Sant Hipòlit de Voltregà;Viviendas con cosumo entre 751 y 1.000 kwh;63
08215 Sant Hipòlit de Voltregà;Viviendas con cosumo entre 1.001 y 2.000 kwh;313
08215 Sant Hipòlit de Voltregà;Viviendas con cosumo entre 2.001 y 3.000 kwh;370
08215 Sant Hipòlit de Voltregà;Viviendas con cosumo entre 3.001 y 4.000 kwh;235
08215 Sant Hipòlit de Voltregà;Viviendas con cosumo entre 4.001 y 5.000 kwh;144
08215 Sant Hipòlit de Voltregà;Viviendas con cosumo entre 5.001 y 6.000 kwh;66
08215 Sant Hipòlit de Voltregà;Viviendas con cosumo entre 6.001 y 7.000 kwh;31
08215 Sant Hipòlit de Voltregà;Viviendas con cosumo entre 7.001 y 8.000 kwh;15
08215 Sant Hipòlit de Voltregà;Viviendas con cosumo entre 8.001 y 9.000 kwh;17
08215 Sant Hipòlit de Voltregà;Viviendas con cosumo entre 9.001 y 10.000 kwh;9
08215 Sant Hipòlit de Voltregà;Viviendas con consumo mayor de 10.000 kwh;23
08217 Sant Joan Despí;Viviendas totales;13.577
08217 Sant Joan Despí;Viviendas vacías;548
08217 Sant Joan Despí;Mediana consumo anual;2.401
08217 Sant Joan Despí;Viviendas con bajo consumo;141
08217 Sant Joan Despí;Viviendas de uso esporádico;625
08217 Sant Joan Despí;Viviendas de uso esporádico (entre 251 y 500 kwh);268
08217 Sant Joan Despí;Viviendas de uso esporádico (entre 501 y 750 kwh);357
08217 Sant Joan Despí;Viviendas con cosumo entre 751 y 1.000 kwh;589
08217 Sant Joan Despí;Viviendas con cosumo entre 1.001 y 2.000 kwh;3.657
08217 Sant Joan Despí;Viviendas con cosumo entre 2.001 y 3.000 kwh;3.724
08217 Sant Joan Despí;Viviendas con cosumo entre 3.001 y 4.000 kwh;2.240
08217 Sant Joan Despí;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.053
08217 Sant Joan Despí;Viviendas con cosumo entre 5.001 y 6.000 kwh;441
08217 Sant Joan Despí;Viviendas con cosumo entre 6.001 y 7.000 kwh;210
08217 Sant Joan Despí;Viviendas con cosumo entre 7.001 y 8.000 kwh;122
08217 Sant Joan Despí;Viviendas con cosumo entre 8.001 y 9.000 kwh;58
08217 Sant Joan Despí;Viviendas con cosumo entre 9.001 y 10.000 kwh;42
08217 Sant Joan Despí;Viviendas con consumo mayor de 10.000 kwh;127
08218 Sant Joan de Vilatorrada *;Viviendas totales;4.505
08218 Sant Joan de Vilatorrada *;Viviendas vacías;195
08218 Sant Joan de Vilatorrada *;Mediana consumo anual;2.460
08218 Sant Joan de Vilatorrada *;Viviendas con bajo consumo;97
08218 Sant Joan de Vilatorrada *;Viviendas de uso esporádico;242
08218 Sant Joan de Vilatorrada *;Viviendas de uso esporádico (entre 251 y 500 kwh);122
08218 Sant Joan de Vilatorrada *;Viviendas de uso esporádico (entre 501 y 750 kwh);120
08218 Sant Joan de Vilatorrada *;Viviendas con cosumo entre 751 y 1.000 kwh;181
08218 Sant Joan de Vilatorrada *;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.125
08218 Sant Joan de Vilatorrada *;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.170
08218 Sant Joan de Vilatorrada *;Viviendas con cosumo entre 3.001 y 4.000 kwh;732
08218 Sant Joan de Vilatorrada *;Viviendas con cosumo entre 4.001 y 5.000 kwh;317
08218 Sant Joan de Vilatorrada *;Viviendas con cosumo entre 5.001 y 6.000 kwh;192
08218 Sant Joan de Vilatorrada *;Viviendas con cosumo entre 6.001 y 7.000 kwh;70
08218 Sant Joan de Vilatorrada *;Viviendas con cosumo entre 7.001 y 8.000 kwh;63
08218 Sant Joan de Vilatorrada *;Viviendas con cosumo entre 8.001 y 9.000 kwh;36
08218 Sant Joan de Vilatorrada *;Viviendas con cosumo entre 9.001 y 10.000 kwh;23
08218 Sant Joan de Vilatorrada *;Viviendas con consumo mayor de 10.000 kwh;62
08219 Vilassar de Mar;Viviendas totales;10.186
08219 Vilassar de Mar;Viviendas vacías;990
08219 Vilassar de Mar;Mediana consumo anual;2.283
08219 Vilassar de Mar;Viviendas con bajo consumo;190
08219 Vilassar de Mar;Viviendas de uso esporádico;643
08219 Vilassar de Mar;Viviendas de uso esporádico (entre 251 y 500 kwh);300
08219 Vilassar de Mar;Viviendas de uso esporádico (entre 501 y 750 kwh);343
08219 Vilassar de Mar;Viviendas con cosumo entre 751 y 1.000 kwh;469
08219 Vilassar de Mar;Viviendas con cosumo entre 1.001 y 2.000 kwh;2.603
08219 Vilassar de Mar;Viviendas con cosumo entre 2.001 y 3.000 kwh;2.432
08219 Vilassar de Mar;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.376
08219 Vilassar de Mar;Viviendas con cosumo entre 4.001 y 5.000 kwh;669
08219 Vilassar de Mar;Viviendas con cosumo entre 5.001 y 6.000 kwh;356
08219 Vilassar de Mar;Viviendas con cosumo entre 6.001 y 7.000 kwh;177
08219 Vilassar de Mar;Viviendas con cosumo entre 7.001 y 8.000 kwh;83
08219 Vilassar de Mar;Viviendas con cosumo entre 8.001 y 9.000 kwh;52
08219 Vilassar de Mar;Viviendas con cosumo entre 9.001 y 10.000 kwh;30
08219 Vilassar de Mar;Viviendas con consumo mayor de 10.000 kwh;116
08220 Sant Julià de Vilatorta;Viviendas totales;1.392
08220 Sant Julià de Vilatorta;Viviendas vacías;186
08220 Sant Julià de Vilatorta;Mediana consumo anual;3.035
08220 Sant Julià de Vilatorta;Viviendas con bajo consumo;25
08220 Sant Julià de Vilatorta;Viviendas de uso esporádico;72
08220 Sant Julià de Vilatorta;Viviendas de uso esporádico (entre 251 y 500 kwh);36
08220 Sant Julià de Vilatorta;Viviendas de uso esporádico (entre 501 y 750 kwh);36
08220 Sant Julià de Vilatorta;Viviendas con cosumo entre 751 y 1.000 kwh;47
08220 Sant Julià de Vilatorta;Viviendas con cosumo entre 1.001 y 2.000 kwh;213
08220 Sant Julià de Vilatorta;Viviendas con cosumo entre 2.001 y 3.000 kwh;253
08220 Sant Julià de Vilatorta;Viviendas con cosumo entre 3.001 y 4.000 kwh;182
08220 Sant Julià de Vilatorta;Viviendas con cosumo entre 4.001 y 5.000 kwh;136
08220 Sant Julià de Vilatorta;Viviendas con cosumo entre 5.001 y 6.000 kwh;97
08220 Sant Julià de Vilatorta;Viviendas con cosumo entre 6.001 y 7.000 kwh;49
08220 Sant Julià de Vilatorta;Viviendas con cosumo entre 7.001 y 8.000 kwh;38
08220 Sant Julià de Vilatorta;Viviendas con cosumo entre 8.001 y 9.000 kwh;29
08220 Sant Julià de Vilatorta;Viviendas con cosumo entre 9.001 y 10.000 kwh;15
08220 Sant Julià de Vilatorta;Viviendas con consumo mayor de 10.000 kwh;50
08221 Sant Just Desvern;Viviendas totales;7.958
08221 Sant Just Desvern;Viviendas vacías;516
08221 Sant Just Desvern;Mediana consumo anual;2.571
08221 Sant Just Desvern;Viviendas con bajo consumo;107
08221 Sant Just Desvern;Viviendas de uso esporádico;398
08221 Sant Just Desvern;Viviendas de uso esporádico (entre 251 y 500 kwh);170
08221 Sant Just Desvern;Viviendas de uso esporádico (entre 501 y 750 kwh);228
08221 Sant Just Desvern;Viviendas con cosumo entre 751 y 1.000 kwh;280
08221 Sant Just Desvern;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.842
08221 Sant Just Desvern;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.873
08221 Sant Just Desvern;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.173
08221 Sant Just Desvern;Viviendas con cosumo entre 4.001 y 5.000 kwh;657
08221 Sant Just Desvern;Viviendas con cosumo entre 5.001 y 6.000 kwh;370
08221 Sant Just Desvern;Viviendas con cosumo entre 6.001 y 7.000 kwh;223
08221 Sant Just Desvern;Viviendas con cosumo entre 7.001 y 8.000 kwh;142
08221 Sant Just Desvern;Viviendas con cosumo entre 8.001 y 9.000 kwh;103
08221 Sant Just Desvern;Viviendas con cosumo entre 9.001 y 10.000 kwh;68
08221 Sant Just Desvern;Viviendas con consumo mayor de 10.000 kwh;206
08222 Sant Llorenç d'Hortons;Viviendas totales;1.228
08222 Sant Llorenç d'Hortons;Viviendas vacías;71
08222 Sant Llorenç d'Hortons;Mediana consumo anual;3.418
08222 Sant Llorenç d'Hortons;Viviendas con bajo consumo;19
08222 Sant Llorenç d'Hortons;Viviendas de uso esporádico;70
08222 Sant Llorenç d'Hortons;Viviendas de uso esporádico (entre 251 y 500 kwh);36
08222 Sant Llorenç d'Hortons;Viviendas de uso esporádico (entre 501 y 750 kwh);34
08222 Sant Llorenç d'Hortons;Viviendas con cosumo entre 751 y 1.000 kwh;47
08222 Sant Llorenç d'Hortons;Viviendas con cosumo entre 1.001 y 2.000 kwh;156
08222 Sant Llorenç d'Hortons;Viviendas con cosumo entre 2.001 y 3.000 kwh;210
08222 Sant Llorenç d'Hortons;Viviendas con cosumo entre 3.001 y 4.000 kwh;211
08222 Sant Llorenç d'Hortons;Viviendas con cosumo entre 4.001 y 5.000 kwh;152
08222 Sant Llorenç d'Hortons;Viviendas con cosumo entre 5.001 y 6.000 kwh;92
08222 Sant Llorenç d'Hortons;Viviendas con cosumo entre 6.001 y 7.000 kwh;73
08222 Sant Llorenç d'Hortons;Viviendas con cosumo entre 7.001 y 8.000 kwh;45
08222 Sant Llorenç d'Hortons;Viviendas con cosumo entre 8.001 y 9.000 kwh;19
08222 Sant Llorenç d'Hortons;Viviendas con cosumo entre 9.001 y 10.000 kwh;25
08222 Sant Llorenç d'Hortons;Viviendas con consumo mayor de 10.000 kwh;38
08223 Sant Llorenç Savall;Viviendas totales;1.366
08223 Sant Llorenç Savall;Viviendas vacías;116
08223 Sant Llorenç Savall;Mediana consumo anual;2.614
08223 Sant Llorenç Savall;Viviendas con bajo consumo;34
08223 Sant Llorenç Savall;Viviendas de uso esporádico;152
08223 Sant Llorenç Savall;Viviendas de uso esporádico (entre 251 y 500 kwh);78
08223 Sant Llorenç Savall;Viviendas de uso esporádico (entre 501 y 750 kwh);74
08223 Sant Llorenç Savall;Viviendas con cosumo entre 751 y 1.000 kwh;48
08223 Sant Llorenç Savall;Viviendas con cosumo entre 1.001 y 2.000 kwh;256
08223 Sant Llorenç Savall;Viviendas con cosumo entre 2.001 y 3.000 kwh;243
08223 Sant Llorenç Savall;Viviendas con cosumo entre 3.001 y 4.000 kwh;179
08223 Sant Llorenç Savall;Viviendas con cosumo entre 4.001 y 5.000 kwh;126
08223 Sant Llorenç Savall;Viviendas con cosumo entre 5.001 y 6.000 kwh;69
08223 Sant Llorenç Savall;Viviendas con cosumo entre 6.001 y 7.000 kwh;56
08223 Sant Llorenç Savall;Viviendas con cosumo entre 7.001 y 8.000 kwh;28
08223 Sant Llorenç Savall;Viviendas con cosumo entre 8.001 y 9.000 kwh;13
08223 Sant Llorenç Savall;Viviendas con cosumo entre 9.001 y 10.000 kwh;14
08223 Sant Llorenç Savall;Viviendas con consumo mayor de 10.000 kwh;32
08224 Sant Martí de Centelles;Viviendas totales;618
08224 Sant Martí de Centelles;Viviendas vacías;65
08224 Sant Martí de Centelles;Mediana consumo anual;1.874
08224 Sant Martí de Centelles;Viviendas con bajo consumo;25
08224 Sant Martí de Centelles;Viviendas de uso esporádico;51
08224 Sant Martí de Centelles;Viviendas de uso esporádico (entre 251 y 500 kwh);30
08224 Sant Martí de Centelles;Viviendas de uso esporádico (entre 501 y 750 kwh);21
08224 Sant Martí de Centelles;Viviendas con cosumo entre 751 y 1.000 kwh;48
08224 Sant Martí de Centelles;Viviendas con cosumo entre 1.001 y 2.000 kwh;182
08224 Sant Martí de Centelles;Viviendas con cosumo entre 2.001 y 3.000 kwh;119
08224 Sant Martí de Centelles;Viviendas con cosumo entre 3.001 y 4.000 kwh;49
08224 Sant Martí de Centelles;Viviendas con cosumo entre 4.001 y 5.000 kwh;22
08224 Sant Martí de Centelles;Viviendas con cosumo entre 5.001 y 6.000 kwh;20
08224 Sant Martí de Centelles;Viviendas con cosumo entre 6.001 y 7.000 kwh;9
08224 Sant Martí de Centelles;Viviendas con cosumo entre 7.001 y 8.000 kwh;6
